Rodri,,Manchester City
CM,DM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.02,31
NON_PEN_XG,0.05,45
TOTAL_SHOTS,0.95,55
ASSISTS,0.05,40
XA,0.04,28
NON_PEN_XG+XA,0.09,31
SHOT_CREATIONS,2.24,69
PASSES_ATTEMPTED,90.10,99
PASS_COMPLETION_PERCENTAGE,91.6,96
PROGRESSIVE_PASSES,5.01,73
PROGRESSIVE CARRIES,6.64,89
DRIBBLES_COMPLETED,0.80,51
TOUCHES_IN_AREA,1.63,74
PROGRESSIVE_PASSES_RECIEVED,1.41,37
PRESSURES,16.51,32
TACKLES,2.50,66
INTERCEPTIONS,1.14,38
BLOCKS,1.19,15
CLEARANCES,2.24,88
AERIAL_DUELS_WON,2.80,95
