Silva,Bernardo,Manchester City
AM,CM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.09,71
NON_PEN_XG,0.12,84
TOTAL_SHOTS,1.19,70
ASSISTS,0.24,96
XA,0.17,93
NON_PEN_XG+XA,0.29,92
SHOT_CREATIONS,3.31,92
PASSES_ATTEMPTED,59.15,69
PASS_COMPLETION_PERCENTAGE,89.5,89
PROGRESSIVE_PASSES,3.46,37
PROGRESSIVE CARRIES,10.53,99
DRIBBLES_COMPLETED,1.67,92
TOUCHES_IN_AREA,4.62,99
PROGRESSIVE_PASSES_RECIEVED,5.37,96
PRESSURES,18.44,52
TACKLES,1.46,11
INTERCEPTIONS,0.81,12
BLOCKS,1.01,7
CLEARANCES,0.39,3
AERIAL_DUELS_WON,0.45,10
