Zinchenko,Oleksandr,Manchester City
LB,DF,MF
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,21
NON_PEN_XG,0.05,66
TOTAL_SHOTS,0.92,83
ASSISTS,0.04,28
XA,0.07,35
NON_PEN_XG+XA,0.11,43
SHOT_CREATIONS,1.57,45
PASSES_ATTEMPTED,93.57,99
PASS_COMPLETION_PERCENTAGE,89.6,99
PROGRESSIVE_PASSES,5.58,91
PROGRESSIVE CARRIES,8.54,97
DRIBBLES_COMPLETED,0.39,12
TOUCHES_IN_AREA,0.87,25
PROGRESSIVE_PASSES_RECIEVED,2.53,59
PRESSURES,9.33,14
TACKLES,1.57,26
INTERCEPTIONS,1.13,37
BLOCKS,1.79,38
CLEARANCES,2.83,67
AERIAL_DUELS_WON,1.83,84
