Phillips,Kalvin,Leeds United
DM,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.04,39
NON_PEN_XG,0.01,7
TOTAL_SHOTS,0.56,25
ASSISTS,0.07,56
XA,0.14,86
NON_PEN_XG+XA,0.15,62
SHOT_CREATIONS,2.15,66
PASSES_ATTEMPTED,54.16,55
PASS_COMPLETION_PERCENTAGE,82.8,39
PROGRESSIVE_PASSES,3.86,47
PROGRESSIVE CARRIES,2.22,13
DRIBBLES_COMPLETED,0.63,35
TOUCHES_IN_AREA,0.33,8
PROGRESSIVE_PASSES_RECIEVED,0.78,13
PRESSURES,23.65,92
TACKLES,2.74,76
INTERCEPTIONS,1.82,84
BLOCKS,2.26,90
CLEARANCES,2.19,86
AERIAL_DUELS_WON,1.15,52
