Klich,Mateusz,Leeds United
AM,CM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.08,66
NON_PEN_XG,0.07,61
TOTAL_SHOTS,1.28,74
ASSISTS,0.19,89
XA,0.15,87
NON_PEN_XG+XA,0.21,81
SHOT_CREATIONS,3.65,94
PASSES_ATTEMPTED,56.23,60
PASS_COMPLETION_PERCENTAGE,79.3,21
PROGRESSIVE_PASSES,5.27,76
PROGRESSIVE CARRIES,5.45,79
DRIBBLES_COMPLETED,0.49,22
TOUCHES_IN_AREA,2.75,93
PROGRESSIVE_PASSES_RECIEVED,7.11,99
PRESSURES,21.44,81
TACKLES,1.96,35
INTERCEPTIONS,0.64,3
BLOCKS,0.79,2
CLEARANCES,0.87,19
AERIAL_DUELS_WON,0.64,21
