Llorente,Diego,Leeds United
CB,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.07,79
NON_PEN_XG,0.05,61
TOTAL_SHOTS,0.56,67
ASSISTS,0.00,31
XA,0.04,93
NON_PEN_XG+XA,0.10,88
SHOT_CREATIONS,0.42,34
PASSES_ATTEMPTED,50.01,39
PASS_COMPLETION_PERCENTAGE,85.7,44
PROGRESSIVE_PASSES,1.67,14
PROGRESSIVE CARRIES,2.57,49
DRIBBLES_COMPLETED,0.35,73
TOUCHES_IN_AREA,0.63,35
PROGRESSIVE_PASSES_RECIEVED,0.07,16
PRESSURES,17.87,99
TACKLES,2.78,97
INTERCEPTIONS,2.85,99
BLOCKS,1.81,66
CLEARANCES,5.77,71
AERIAL_DUELS_WON,2.92,68
