Dallas,Stuart,Leeds United
AM,FB,WM
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.21,97
NON_PEN_XG,0.12,95
TOTAL_SHOTS,1.27,94
ASSISTS,0.05,33
XA,0.06,26
NON_PEN_XG+XA,0.18,73
SHOT_CREATIONS,1.95,66
PASSES_ATTEMPTED,58.40,70
PASS_COMPLETION_PERCENTAGE,82.0,78
PROGRESSIVE_PASSES,4.80,83
PROGRESSIVE CARRIES,4.83,52
DRIBBLES_COMPLETED,0.58,31
TOUCHES_IN_AREA,1.74,64
PROGRESSIVE_PASSES_RECIEVED,2.80,67
PRESSURES,15.50,83
TACKLES,2.09,55
INTERCEPTIONS,1.56,76
BLOCKS,1.45,14
CLEARANCES,1.45,11
AERIAL_DUELS_WON,1.08,43
