Shackleton,Jamie,Leeds United
MF,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,15
NON_PEN_XG,0.00,1
TOTAL_SHOTS,0.00,1
ASSISTS,0.00,12
XA,0.06,44
NON_PEN_XG+XA,0.06,13
SHOT_CREATIONS,1.17,17
PASSES_ATTEMPTED,40.22,18
PASS_COMPLETION_PERCENTAGE,88.3,82
PROGRESSIVE_PASSES,1.37,1
PROGRESSIVE CARRIES,3.32,36
DRIBBLES_COMPLETED,0.20,2
TOUCHES_IN_AREA,1.76,79
PROGRESSIVE_PASSES_RECIEVED,3.51,85
PRESSURES,14.45,15
TACKLES,1.56,14
INTERCEPTIONS,1.17,40
BLOCKS,1.37,30
CLEARANCES,0.98,27
AERIAL_DUELS_WON,0.78,30
