Rodrigo,,Leeds United
FW,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.49,99
NON_PEN_XG,0.44,99
TOTAL_SHOTS,3.35,99
ASSISTS,0.14,79
XA,0.17,92
NON_PEN_XG+XA,0.60,99
SHOT_CREATIONS,4.47,97
PASSES_ATTEMPTED,40.04,18
PASS_COMPLETION_PERCENTAGE,75.4,7
PROGRESSIVE_PASSES,3.98,51
PROGRESSIVE CARRIES,5.10,73
DRIBBLES_COMPLETED,1.26,77
TOUCHES_IN_AREA,5.31,99
PROGRESSIVE_PASSES_RECIEVED,10.69,99
PRESSURES,18.10,49
TACKLES,1.40,10
INTERCEPTIONS,0.63,2
BLOCKS,0.63,1
CLEARANCES,1.12,35
AERIAL_DUELS_WON,1.75,78
