Costa,Hélder,Leeds United
AM,RAM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.23,59
NON_PEN_XG,0.16,30
TOTAL_SHOTS,1.25,13
ASSISTS,0.23,69
XA,0.07,6
NON_PEN_XG+XA,0.23,10
SHOT_CREATIONS,1.63,3
PASSES_ATTEMPTED,25.54,4
PASS_COMPLETION_PERCENTAGE,73.8,36
PROGRESSIVE_PASSES,1.25,2
PROGRESSIVE CARRIES,4.36,15
DRIBBLES_COMPLETED,1.48,41
TOUCHES_IN_AREA,3.58,46
PROGRESSIVE_PASSES_RECIEVED,4.67,18
PRESSURES,20.63,89
TACKLES,2.34,97
INTERCEPTIONS,0.47,16
BLOCKS,1.48,77
CLEARANCES,0.70,69
AERIAL_DUELS_WON,0.31,15
