Dias Belloli,Raphael,Leeds United
AM,RM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.23,56
NON_PEN_XG,0.23,65
TOTAL_SHOTS,2.57,76
ASSISTS,0.36,93
XA,0.30,94
NON_PEN_XG+XA,0.53,82
SHOT_CREATIONS,4.33,85
PASSES_ATTEMPTED,38.94,55
PASS_COMPLETION_PERCENTAGE,66.4,8
PROGRESSIVE_PASSES,4.95,89
PROGRESSIVE CARRIES,6.09,54
DRIBBLES_COMPLETED,2.41,79
TOUCHES_IN_AREA,5.01,73
PROGRESSIVE_PASSES_RECIEVED,6.48,49
PRESSURES,15.17,47
TACKLES,1.43,59
INTERCEPTIONS,1.14,87
BLOCKS,1.47,76
CLEARANCES,1.14,91
AERIAL_DUELS_WON,0.49,34
