Roberts,Tyler,Leeds United
FW,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.07,63
NON_PEN_XG,0.14,91
TOTAL_SHOTS,1.75,92
ASSISTS,0.13,78
XA,0.12,81
NON_PEN_XG+XA,0.26,87
SHOT_CREATIONS,2.42,77
PASSES_ATTEMPTED,31.37,4
PASS_COMPLETION_PERCENTAGE,72.2,4
PROGRESSIVE_PASSES,2.89,22
PROGRESSIVE CARRIES,4.50,60
DRIBBLES_COMPLETED,1.14,73
TOUCHES_IN_AREA,3.22,96
PROGRESSIVE_PASSES_RECIEVED,6.92,99
PRESSURES,17.53,45
TACKLES,1.21,6
INTERCEPTIONS,0.60,2
BLOCKS,1.34,29
CLEARANCES,0.94,24
AERIAL_DUELS_WON,1.34,62
