Cresswell,Aaron,West Ham
LB,DF,MF
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,21
NON_PEN_XG,0.03,37
TOTAL_SHOTS,0.54,50
ASSISTS,0.23,93
XA,0.17,88
NON_PEN_XG+XA,0.20,79
SHOT_CREATIONS,2.73,91
PASSES_ATTEMPTED,58.51,71
PASS_COMPLETION_PERCENTAGE,74.8,27
PROGRESSIVE_PASSES,3.41,40
PROGRESSIVE CARRIES,2.75,9
DRIBBLES_COMPLETED,0.17,2
TOUCHES_IN_AREA,0.51,10
PROGRESSIVE_PASSES_RECIEVED,0.85,6
PRESSURES,6.53,1
TACKLES,0.88,2
INTERCEPTIONS,1.02,25
BLOCKS,1.36,9
CLEARANCES,2.78,64
AERIAL_DUELS_WON,1.08,42
