Lingard,Jesse,West Ham
FW,AM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.54,98
NON_PEN_XG,0.23,63
TOTAL_SHOTS,2.47,74
ASSISTS,0.24,71
XA,0.10,13
NON_PEN_XG+XA,0.33,34
SHOT_CREATIONS,3.74,70
PASSES_ATTEMPTED,42.19,68
PASS_COMPLETION_PERCENTAGE,81.1,85
PROGRESSIVE_PASSES,4.17,79
PROGRESSIVE CARRIES,7.73,82
DRIBBLES_COMPLETED,1.45,37
TOUCHES_IN_AREA,3.26,37
PROGRESSIVE_PASSES_RECIEVED,4.89,21
PRESSURES,20.89,89
TACKLES,0.97,26
INTERCEPTIONS,0.42,12
BLOCKS,0.48,2
CLEARANCES,0.06,3
AERIAL_DUELS_WON,0.00,1
