Maitland-Niles,Ainsley,West Brom
DF,WM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,15
NON_PEN_XG,0.08,65
TOTAL_SHOTS,0.76,40
ASSISTS,0.04,36
XA,0.08,64
NON_PEN_XG+XA,0.16,65
SHOT_CREATIONS,1.68,45
PASSES_ATTEMPTED,40.67,20
PASS_COMPLETION_PERCENTAGE,80.5,26
PROGRESSIVE_PASSES,3.15,27
PROGRESSIVE CARRIES,4.41,57
DRIBBLES_COMPLETED,1.26,78
TOUCHES_IN_AREA,2.48,90
PROGRESSIVE_PASSES_RECIEVED,3.11,80
PRESSURES,20.50,75
TACKLES,1.76,24
INTERCEPTIONS,1.85,86
BLOCKS,1.64,56
CLEARANCES,1.93,77
AERIAL_DUELS_WON,0.71,27
