Furlong,Darnell,West Brom
RB,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.03,47
NON_PEN_XG,0.06,74
TOTAL_SHOTS,0.80,75
ASSISTS,0.09,54
XA,0.06,33
NON_PEN_XG+XA,0.13,51
SHOT_CREATIONS,1.04,14
PASSES_ATTEMPTED,36.13,3
PASS_COMPLETION_PERCENTAGE,59.5,1
PROGRESSIVE_PASSES,2.39,7
PROGRESSIVE CARRIES,1.96,2
DRIBBLES_COMPLETED,0.37,10
TOUCHES_IN_AREA,1.78,65
PROGRESSIVE_PASSES_RECIEVED,1.44,22
PRESSURES,8.90,8
TACKLES,1.50,22
INTERCEPTIONS,0.86,14
BLOCKS,2.46,84
CLEARANCES,3.68,91
AERIAL_DUELS_WON,3.96,99
