Johnstone,Sam,West Brom
GK,GK,
STAT,VALUE,PERCENTILE
POST_SHOT_XG-CONCEDED,+0.12,85
GOALS_CONCEDED,2.00,4
SAVE_PERCENTAGE,70.6,63
POST_SHOT_XG_PER_SHOT_ON_TARGET,0.30,54
PENALTY_SAVE_PERCENTAGE,22.2,67
CLEAN_SHEET_PERCENTAGE,16.2,21
TOUCHES,38.27,70
LAUNCH_PERCENTAGE,71.2,96
GOAL_KICKS,7.97,73
AVG_GOAL_KICK_DISTANCE,60.9,94
CROSSES_STOPPED_PERCENTAGE,7.2,50
DEFENSIVE_ACTIONS_OUTSIDE_AREA,0.70,67
AVG_DISTANCE_OF_DEFENSIVE_ACTIONS,14.5,52
