Townsend,Conor,West Brom
LB,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,21
NON_PEN_XG,0.04,56
TOTAL_SHOTS,0.44,36
ASSISTS,0.08,49
XA,0.08,52
NON_PEN_XG+XA,0.12,50
SHOT_CREATIONS,1.57,45
PASSES_ATTEMPTED,47.38,21
PASS_COMPLETION_PERCENTAGE,74.9,28
PROGRESSIVE_PASSES,4.75,81
PROGRESSIVE CARRIES,2.82,10
DRIBBLES_COMPLETED,0.48,20
TOUCHES_IN_AREA,1.17,39
PROGRESSIVE_PASSES_RECIEVED,1.21,16
PRESSURES,10.96,27
TACKLES,2.26,66
INTERCEPTIONS,1.61,80
BLOCKS,1.81,39
CLEARANCES,2.62,57
AERIAL_DUELS_WON,1.81,84
