Gibbs,Kieran,West Brom
LB,DF,MF
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,21
NON_PEN_XG,0.00,1
TOTAL_SHOTS,0.11,3
ASSISTS,0.00,7
XA,0.03,10
NON_PEN_XG+XA,0.03,4
SHOT_CREATIONS,0.45,1
PASSES_ATTEMPTED,34.38,1
PASS_COMPLETION_PERCENTAGE,72.2,17
PROGRESSIVE_PASSES,1.78,2
PROGRESSIVE CARRIES,2.56,7
DRIBBLES_COMPLETED,0.22,4
TOUCHES_IN_AREA,0.33,3
PROGRESSIVE_PASSES_RECIEVED,1.00,9
PRESSURES,8.90,7
TACKLES,1.56,24
INTERCEPTIONS,1.56,76
BLOCKS,1.89,47
CLEARANCES,3.67,91
AERIAL_DUELS_WON,1.11,45
