Robinson,Callum,West Brom
FW,AM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.29,30
NON_PEN_XG,0.18,3
TOTAL_SHOTS,1.79,15
ASSISTS,0.00,4
XA,0.05,7
NON_PEN_XG+XA,0.23,1
SHOT_CREATIONS,2.31,54
PASSES_ATTEMPTED,25.96,64
PASS_COMPLETION_PERCENTAGE,70.9,38
PROGRESSIVE_PASSES,1.27,41
PROGRESSIVE CARRIES,3.40,68
DRIBBLES_COMPLETED,1.33,70
TOUCHES_IN_AREA,2.94,1
PROGRESSIVE_PASSES_RECIEVED,6.92,37
PRESSURES,14.94,60
TACKLES,0.81,65
INTERCEPTIONS,0.81,97
BLOCKS,0.92,73
CLEARANCES,0.52,34
AERIAL_DUELS_WON,0.75,13
