Robson-Kanu,Hal,West Brom
AM,WM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.32,40
NON_PEN_XG,0.24,13
TOTAL_SHOTS,2.09,32
ASSISTS,0.00,4
XA,0.06,20
NON_PEN_XG+XA,0.30,8
SHOT_CREATIONS,1.93,37
PASSES_ATTEMPTED,13.80,1
PASS_COMPLETION_PERCENTAGE,74.4,61
PROGRESSIVE_PASSES,1.44,52
PROGRESSIVE CARRIES,3.21,64
DRIBBLES_COMPLETED,0.96,44
TOUCHES_IN_AREA,2.57,1
PROGRESSIVE_PASSES_RECIEVED,8.02,54
PRESSURES,13.96,46
TACKLES,0.48,30
INTERCEPTIONS,0.64,94
BLOCKS,0.80,60
CLEARANCES,0.64,49
AERIAL_DUELS_WON,1.12,27
