Walcott,Theo,Southampton
AM,RM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.17,34
NON_PEN_XG,0.17,34
TOTAL_SHOTS,1.66,31
ASSISTS,0.17,41
XA,0.07,6
NON_PEN_XG+XA,0.23,11
SHOT_CREATIONS,1.55,3
PASSES_ATTEMPTED,23.45,2
PASS_COMPLETION_PERCENTAGE,72.5,30
PROGRESSIVE_PASSES,1.49,4
PROGRESSIVE CARRIES,4.41,16
DRIBBLES_COMPLETED,1.10,20
TOUCHES_IN_AREA,3.81,50
PROGRESSIVE_PASSES_RECIEVED,5.90,35
PRESSURES,19.04,80
TACKLES,1.60,74
INTERCEPTIONS,0.50,18
BLOCKS,1.27,58
CLEARANCES,0.33,29
AERIAL_DUELS_WON,0.44,29
