McCarthy,Alex,Southampton
GK,GK,
STAT,VALUE,PERCENTILE
POST_SHOT_XG-CONCEDED,-0.27,7
GOALS_CONCEDED,1.90,7
SAVE_PERCENTAGE,63.8,16
POST_SHOT_XG_PER_SHOT_ON_TARGET,0.31,67
PENALTY_SAVE_PERCENTAGE,0.0,18
CLEAN_SHEET_PERCENTAGE,23.3,41
TOUCHES,38.17,69
LAUNCH_PERCENTAGE,45.8,65
GOAL_KICKS,5.70,14
AVG_GOAL_KICK_DISTANCE,47.6,61
CROSSES_STOPPED_PERCENTAGE,9.2,81
DEFENSIVE_ACTIONS_OUTSIDE_AREA,0.67,63
AVG_DISTANCE_OF_DEFENSIVE_ACTIONS,15.1,70
