Adams,Che,Southampton
FW,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.30,35
NON_PEN_XG,0.30,29
TOTAL_SHOTS,1.89,19
ASSISTS,0.17,62
XA,0.20,83
NON_PEN_XG+XA,0.49,54
SHOT_CREATIONS,2.23,49
PASSES_ATTEMPTED,21.36,32
PASS_COMPLETION_PERCENTAGE,70.0,32
PROGRESSIVE_PASSES,2.06,73
PROGRESSIVE CARRIES,2.26,38
DRIBBLES_COMPLETED,0.84,33
TOUCHES_IN_AREA,3.71,8
PROGRESSIVE_PASSES_RECIEVED,6.38,20
PRESSURES,14.51,54
TACKLES,1.01,80
INTERCEPTIONS,0.37,62
BLOCKS,0.88,67
CLEARANCES,0.54,35
AERIAL_DUELS_WON,1.59,43
