Bertrand,Ryan,Southampton
LB,DF,MF
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,21
NON_PEN_XG,0.02,30
TOTAL_SHOTS,0.28,16
ASSISTS,0.03,21
XA,0.04,16
NON_PEN_XG+XA,0.06,14
SHOT_CREATIONS,1.14,20
PASSES_ATTEMPTED,53.24,48
PASS_COMPLETION_PERCENTAGE,76.8,40
PROGRESSIVE_PASSES,3.36,37
PROGRESSIVE CARRIES,4.02,36
DRIBBLES_COMPLETED,0.17,2
TOUCHES_IN_AREA,1.63,60
PROGRESSIVE_PASSES_RECIEVED,2.42,57
PRESSURES,10.98,29
TACKLES,2.46,74
INTERCEPTIONS,1.07,30
BLOCKS,1.63,22
CLEARANCES,1.94,25
AERIAL_DUELS_WON,1.18,50
