Djenepo,Moussa,Southampton
MF,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.07,9
NON_PEN_XG,0.07,3
TOTAL_SHOTS,1.02,7
ASSISTS,0.00,3
XA,0.04,1
NON_PEN_XG+XA,0.11,1
SHOT_CREATIONS,2.25,13
PASSES_ATTEMPTED,29.03,15
PASS_COMPLETION_PERCENTAGE,73.8,36
PROGRESSIVE_PASSES,1.74,8
PROGRESSIVE CARRIES,4.50,18
DRIBBLES_COMPLETED,2.54,83
TOUCHES_IN_AREA,3.27,37
PROGRESSIVE_PASSES_RECIEVED,4.65,18
PRESSURES,24.10,98
TACKLES,3.34,99
INTERCEPTIONS,0.80,56
BLOCKS,1.96,94
CLEARANCES,1.16,92
AERIAL_DUELS_WON,0.80,60
