Redmond,Nathan,Southampton
AM,LM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.10,14
NON_PEN_XG,0.17,35
TOTAL_SHOTS,2.33,68
ASSISTS,0.16,39
XA,0.17,50
NON_PEN_XG+XA,0.34,39
SHOT_CREATIONS,3.00,43
PASSES_ATTEMPTED,38.48,53
PASS_COMPLETION_PERCENTAGE,75.9,50
PROGRESSIVE_PASSES,3.83,74
PROGRESSIVE CARRIES,6.01,51
DRIBBLES_COMPLETED,2.28,76
TOUCHES_IN_AREA,4.40,64
PROGRESSIVE_PASSES_RECIEVED,6.63,53
PRESSURES,19.57,83
TACKLES,1.66,78
INTERCEPTIONS,0.93,71
BLOCKS,1.50,78
CLEARANCES,0.57,56
AERIAL_DUELS_WON,0.57,44
