Lindelöf,Victor,Manchester Utd
CB,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,16
NON_PEN_XG,0.03,28
TOTAL_SHOTS,0.17,5
ASSISTS,0.05,84
XA,0.02,62
NON_PEN_XG+XA,0.04,28
SHOT_CREATIONS,0.37,24
PASSES_ATTEMPTED,62.27,74
PASS_COMPLETION_PERCENTAGE,91.3,88
PROGRESSIVE_PASSES,3.05,63
PROGRESSIVE CARRIES,3.73,72
DRIBBLES_COMPLETED,0.07,11
TOUCHES_IN_AREA,0.37,9
PROGRESSIVE_PASSES_RECIEVED,0.10,24
PRESSURES,6.30,13
TACKLES,0.78,3
INTERCEPTIONS,1.10,30
BLOCKS,1.49,32
CLEARANCES,4.49,33
AERIAL_DUELS_WON,2.25,36
