Fred,,Manchester Utd
AM,DM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,15
NON_PEN_XG,0.06,54
TOTAL_SHOTS,0.88,51
ASSISTS,0.05,43
XA,0.10,71
NON_PEN_XG+XA,0.16,64
SHOT_CREATIONS,2.49,78
PASSES_ATTEMPTED,64.50,82
PASS_COMPLETION_PERCENTAGE,88.5,84
PROGRESSIVE_PASSES,5.64,84
PROGRESSIVE CARRIES,4.30,55
DRIBBLES_COMPLETED,1.04,67
TOUCHES_IN_AREA,0.60,23
PROGRESSIVE_PASSES_RECIEVED,1.19,28
PRESSURES,24.18,94
TACKLES,3.13,88
INTERCEPTIONS,1.92,90
BLOCKS,2.49,97
CLEARANCES,1.14,36
AERIAL_DUELS_WON,0.36,5
