Fosu-Mensah,Timothy,Manchester Utd
DF,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,21
NON_PEN_XG,0.04,60
TOTAL_SHOTS,0.75,69
ASSISTS,0.00,7
XA,0.06,30
NON_PEN_XG+XA,0.12,46
SHOT_CREATIONS,1.49,40
PASSES_ATTEMPTED,77.48,96
PASS_COMPLETION_PERCENTAGE,86.0,94
PROGRESSIVE_PASSES,5.36,88
PROGRESSIVE CARRIES,5.51,68
DRIBBLES_COMPLETED,1.19,76
TOUCHES_IN_AREA,1.49,52
PROGRESSIVE_PASSES_RECIEVED,2.98,72
PRESSURES,8.79,7
TACKLES,2.53,79
INTERCEPTIONS,1.19,43
BLOCKS,2.38,80
CLEARANCES,2.24,41
AERIAL_DUELS_WON,1.94,86
