van de Beek,Donny,Manchester Utd
CM,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.10,74
NON_PEN_XG,0.04,33
TOTAL_SHOTS,0.38,12
ASSISTS,0.10,65
XA,0.14,86
NON_PEN_XG+XA,0.18,73
SHOT_CREATIONS,2.20,68
PASSES_ATTEMPTED,51.21,45
PASS_COMPLETION_PERCENTAGE,85.6,62
PROGRESSIVE_PASSES,2.39,11
PROGRESSIVE CARRIES,3.63,42
DRIBBLES_COMPLETED,1.53,88
TOUCHES_IN_AREA,4.01,99
PROGRESSIVE_PASSES_RECIEVED,5.45,96
PRESSURES,16.91,39
TACKLES,2.20,50
INTERCEPTIONS,0.96,23
BLOCKS,1.24,19
CLEARANCES,0.86,18
AERIAL_DUELS_WON,0.67,23
