Bailly,Eric,Manchester Utd
CB,RCB,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,16
NON_PEN_XG,0.01,6
TOTAL_SHOTS,0.23,11
ASSISTS,0.06,90
XA,0.01,48
NON_PEN_XG+XA,0.02,9
SHOT_CREATIONS,0.35,20
PASSES_ATTEMPTED,52.98,47
PASS_COMPLETION_PERCENTAGE,91.2,87
PROGRESSIVE_PASSES,2.90,58
PROGRESSIVE CARRIES,2.84,55
DRIBBLES_COMPLETED,0.58,90
TOUCHES_IN_AREA,0.29,4
PROGRESSIVE_PASSES_RECIEVED,0.00,3
PRESSURES,6.73,18
TACKLES,1.28,33
INTERCEPTIONS,2.03,90
BLOCKS,1.74,60
CLEARANCES,5.57,66
AERIAL_DUELS_WON,2.79,62
