Henderson,Dean,Manchester Utd
GK,GK,
STAT,VALUE,PERCENTILE
POST_SHOT_XG-CONCEDED,0.00,59
GOALS_CONCEDED,0.86,94
SAVE_PERCENTAGE,76.9,97
POST_SHOT_XG_PER_SHOT_ON_TARGET,0.24,3
CLEAN_SHEET_PERCENTAGE,41.2,92
TOUCHES,28.63,6
LAUNCH_PERCENTAGE,35.8,32
GOAL_KICKS,7.03,42
AVG_GOAL_KICK_DISTANCE,33.1,13
CROSSES_STOPPED_PERCENTAGE,9.5,86
DEFENSIVE_ACTIONS_OUTSIDE_AREA,1.03,88
AVG_DISTANCE_OF_DEFENSIVE_ACTIONS,14.7,57
