Telles,Alex,Manchester Utd
LB,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,-0.06,1
NON_PEN_XG,0.02,26
TOTAL_SHOTS,0.44,34
ASSISTS,0.13,74
XA,0.11,71
NON_PEN_XG+XA,0.14,62
SHOT_CREATIONS,2.64,88
PASSES_ATTEMPTED,65.30,85
PASS_COMPLETION_PERCENTAGE,77.9,48
PROGRESSIVE_PASSES,5.15,87
PROGRESSIVE CARRIES,4.09,37
DRIBBLES_COMPLETED,0.50,23
TOUCHES_IN_AREA,0.25,1
PROGRESSIVE_PASSES_RECIEVED,1.95,40
PRESSURES,10.56,22
TACKLES,1.51,22
INTERCEPTIONS,1.63,82
BLOCKS,2.20,71
CLEARANCES,3.27,81
AERIAL_DUELS_WON,1.38,64
