Williams,Brandon,Manchester Utd
DF,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,21
NON_PEN_XG,0.01,19
TOTAL_SHOTS,0.28,16
ASSISTS,0.00,7
XA,0.03,7
NON_PEN_XG+XA,0.04,5
SHOT_CREATIONS,2.10,73
PASSES_ATTEMPTED,56.41,61
PASS_COMPLETION_PERCENTAGE,86.8,95
PROGRESSIVE_PASSES,3.22,31
PROGRESSIVE CARRIES,4.20,41
DRIBBLES_COMPLETED,0.98,66
TOUCHES_IN_AREA,0.84,24
PROGRESSIVE_PASSES_RECIEVED,1.40,19
PRESSURES,11.48,36
TACKLES,2.24,65
INTERCEPTIONS,2.10,97
BLOCKS,2.24,74
CLEARANCES,1.82,20
AERIAL_DUELS_WON,0.84,25
