Maguire,Harry,Manchester Utd
CB,LCB,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.04,51
NON_PEN_XG,0.07,84
TOTAL_SHOTS,1.00,98
ASSISTS,0.02,62
XA,0.02,67
NON_PEN_XG+XA,0.09,83
SHOT_CREATIONS,0.81,84
PASSES_ATTEMPTED,62.82,75
PASS_COMPLETION_PERCENTAGE,88.8,70
PROGRESSIVE_PASSES,3.05,63
PROGRESSIVE CARRIES,5.42,92
DRIBBLES_COMPLETED,0.21,47
TOUCHES_IN_AREA,1.56,98
PROGRESSIVE_PASSES_RECIEVED,0.37,82
PRESSURES,5.81,7
TACKLES,0.93,10
INTERCEPTIONS,1.70,77
BLOCKS,1.33,16
CLEARANCES,5.08,52
AERIAL_DUELS_WON,4.13,95
