Greenwood,Mason,Manchester Utd
FW,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.28,70
NON_PEN_XG,0.32,85
TOTAL_SHOTS,2.90,91
ASSISTS,0.09,16
XA,0.09,9
NON_PEN_XG+XA,0.41,58
SHOT_CREATIONS,2.37,16
PASSES_ATTEMPTED,33.90,29
PASS_COMPLETION_PERCENTAGE,83.2,94
PROGRESSIVE_PASSES,1.94,14
PROGRESSIVE CARRIES,6.01,52
DRIBBLES_COMPLETED,1.82,57
TOUCHES_IN_AREA,5.21,76
PROGRESSIVE_PASSES_RECIEVED,7.40,70
PRESSURES,13.14,25
TACKLES,0.83,15
INTERCEPTIONS,0.62,32
BLOCKS,0.37,2
CLEARANCES,0.22,13
AERIAL_DUELS_WON,0.34,18
