Martial,Anthony,Manchester Utd
FW,AM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.24,20
NON_PEN_XG,0.38,59
TOTAL_SHOTS,2.45,49
ASSISTS,0.16,59
XA,0.15,62
NON_PEN_XG+XA,0.53,63
SHOT_CREATIONS,3.16,82
PASSES_ATTEMPTED,29.49,78
PASS_COMPLETION_PERCENTAGE,82.9,95
PROGRESSIVE_PASSES,2.61,86
PROGRESSIVE CARRIES,5.72,91
DRIBBLES_COMPLETED,2.41,94
TOUCHES_IN_AREA,7.74,96
PROGRESSIVE_PASSES_RECIEVED,10.26,92
PRESSURES,10.30,11
TACKLES,0.20,2
INTERCEPTIONS,0.28,38
BLOCKS,1.07,84
CLEARANCES,0.63,47
AERIAL_DUELS_WON,1.14,27
