Cavani,Edinson,Manchester Utd
FW,WM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.69,94
NON_PEN_XG,0.55,91
TOTAL_SHOTS,2.49,54
ASSISTS,0.23,82
XA,0.17,75
NON_PEN_XG+XA,0.72,91
SHOT_CREATIONS,2.40,59
PASSES_ATTEMPTED,22.52,47
PASS_COMPLETION_PERCENTAGE,79.9,88
PROGRESSIVE_PASSES,1.15,35
PROGRESSIVE CARRIES,1.02,3
DRIBBLES_COMPLETED,0.60,18
TOUCHES_IN_AREA,5.35,53
PROGRESSIVE_PASSES_RECIEVED,6.65,33
PRESSURES,15.74,68
TACKLES,1.15,90
INTERCEPTIONS,0.60,91
BLOCKS,0.46,14
CLEARANCES,0.55,38
AERIAL_DUELS_WON,0.60,8
