Ryan,Mathew,Arsenal
GK,GK,
STAT,VALUE,PERCENTILE
POST_SHOT_XG-CONCEDED,-0.07,36
GOALS_CONCEDED,1.50,36
SAVE_PERCENTAGE,59.0,5
POST_SHOT_XG_PER_SHOT_ON_TARGET,0.37,99
PENALTY_SAVE_PERCENTAGE,0.0,18
CLEAN_SHEET_PERCENTAGE,21.4,35
TOUCHES,35.50,50
LAUNCH_PERCENTAGE,30.6,18
GOAL_KICKS,4.79,6
AVG_GOAL_KICK_DISTANCE,39.2,30
CROSSES_STOPPED_PERCENTAGE,8.9,76
DEFENSIVE_ACTIONS_OUTSIDE_AREA,0.50,33
AVG_DISTANCE_OF_DEFENSIVE_ACTIONS,14.2,43
