Ceballos,Dani,Arsenal
CM,WM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,15
NON_PEN_XG,0.03,26
TOTAL_SHOTS,0.61,30
ASSISTS,0.12,75
XA,0.17,92
NON_PEN_XG+XA,0.20,78
SHOT_CREATIONS,3.27,92
PASSES_ATTEMPTED,72.62,90
PASS_COMPLETION_PERCENTAGE,87.4,76
PROGRESSIVE_PASSES,6.26,89
PROGRESSIVE CARRIES,9.36,98
DRIBBLES_COMPLETED,1.64,91
TOUCHES_IN_AREA,1.31,63
PROGRESSIVE_PASSES_RECIEVED,2.04,61
PRESSURES,16.19,31
TACKLES,2.37,58
INTERCEPTIONS,1.59,72
BLOCKS,1.76,67
CLEARANCES,0.86,18
AERIAL_DUELS_WON,0.61,17
