Saka,Bukayo,Arsenal
DF,FW,MF
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.19,46
NON_PEN_XG,0.22,61
TOTAL_SHOTS,1.94,47
ASSISTS,0.17,42
XA,0.17,51
NON_PEN_XG+XA,0.40,54
SHOT_CREATIONS,3.38,57
PASSES_ATTEMPTED,40.21,62
PASS_COMPLETION_PERCENTAGE,76.2,55
PROGRESSIVE_PASSES,2.13,19
PROGRESSIVE CARRIES,7.17,71
DRIBBLES_COMPLETED,1.58,45
TOUCHES_IN_AREA,5.34,77
PROGRESSIVE_PASSES_RECIEVED,7.83,77
PRESSURES,13.59,31
TACKLES,1.22,46
INTERCEPTIONS,0.97,74
BLOCKS,1.27,58
CLEARANCES,1.00,85
AERIAL_DUELS_WON,0.50,35
