Holding,Rob,Arsenal
CB,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,16
NON_PEN_XG,0.05,57
TOTAL_SHOTS,0.61,73
ASSISTS,0.03,69
XA,0.01,40
NON_PEN_XG+XA,0.05,46
SHOT_CREATIONS,0.46,39
PASSES_ATTEMPTED,60.90,70
PASS_COMPLETION_PERCENTAGE,89.2,75
PROGRESSIVE_PASSES,3.40,71
PROGRESSIVE CARRIES,3.37,66
DRIBBLES_COMPLETED,0.33,73
TOUCHES_IN_AREA,0.82,57
PROGRESSIVE_PASSES_RECIEVED,0.06,14
PRESSURES,10.08,66
TACKLES,1.43,48
INTERCEPTIONS,0.88,12
BLOCKS,1.82,67
CLEARANCES,5.53,66
AERIAL_DUELS_WON,2.52,50
