Pépé,Nicolas,Arsenal
AM,RAM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.50,97
NON_PEN_XG,0.32,85
TOTAL_SHOTS,2.75,82
ASSISTS,0.18,49
XA,0.14,30
NON_PEN_XG+XA,0.46,72
SHOT_CREATIONS,2.86,36
PASSES_ATTEMPTED,40.85,66
PASS_COMPLETION_PERCENTAGE,75.7,48
PROGRESSIVE_PASSES,2.50,30
PROGRESSIVE CARRIES,6.43,61
DRIBBLES_COMPLETED,2.18,72
TOUCHES_IN_AREA,7.15,95
PROGRESSIVE_PASSES_RECIEVED,8.90,90
PRESSURES,12.80,24
TACKLES,1.18,41
INTERCEPTIONS,1.00,76
BLOCKS,1.29,59
CLEARANCES,0.57,57
AERIAL_DUELS_WON,1.75,89
