Mustafi,Shkodran,Arsenal
CB,RCB,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.06,70
NON_PEN_XG,0.06,78
TOTAL_SHOTS,0.85,94
ASSISTS,0.00,31
XA,0.01,28
NON_PEN_XG+XA,0.06,53
SHOT_CREATIONS,0.49,47
PASSES_ATTEMPTED,54.22,50
PASS_COMPLETION_PERCENTAGE,83.2,23
PROGRESSIVE_PASSES,3.46,73
PROGRESSIVE CARRIES,3.03,60
DRIBBLES_COMPLETED,0.12,23
TOUCHES_IN_AREA,1.33,93
PROGRESSIVE_PASSES_RECIEVED,0.12,29
PRESSURES,8.92,51
TACKLES,1.15,25
INTERCEPTIONS,2.00,89
BLOCKS,2.00,78
CLEARANCES,6.79,89
AERIAL_DUELS_WON,4.12,95
