Ødegaard,Martin,Arsenal
FW,AM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.11,15
NON_PEN_XG,0.10,9
TOTAL_SHOTS,1.42,18
ASSISTS,0.11,21
XA,0.22,76
NON_PEN_XG+XA,0.32,32
SHOT_CREATIONS,4.25,84
PASSES_ATTEMPTED,58.31,97
PASS_COMPLETION_PERCENTAGE,85.9,98
PROGRESSIVE_PASSES,4.63,86
PROGRESSIVE CARRIES,8.60,91
DRIBBLES_COMPLETED,1.20,25
TOUCHES_IN_AREA,2.94,27
PROGRESSIVE_PASSES_RECIEVED,4.85,19
PRESSURES,16.28,59
TACKLES,0.82,14
INTERCEPTIONS,0.54,24
BLOCKS,0.27,1
CLEARANCES,0.44,43
AERIAL_DUELS_WON,0.44,28
