Aubameyang,Pierre-Emerick,Arsenal
FW,WM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.35,52
NON_PEN_XG,0.44,78
TOTAL_SHOTS,2.44,48
ASSISTS,0.13,53
XA,0.10,39
NON_PEN_XG+XA,0.54,68
SHOT_CREATIONS,1.70,24
PASSES_ATTEMPTED,25.33,58
PASS_COMPLETION_PERCENTAGE,74.8,64
PROGRESSIVE_PASSES,1.93,68
PROGRESSIVE CARRIES,3.76,75
DRIBBLES_COMPLETED,0.42,8
TOUCHES_IN_AREA,5.11,49
PROGRESSIVE_PASSES_RECIEVED,7.29,45
PRESSURES,13.58,44
TACKLES,0.58,42
INTERCEPTIONS,0.22,25
BLOCKS,1.03,82
CLEARANCES,0.55,37
AERIAL_DUELS_WON,1.19,32
