Bellerín,Héctor,Arsenal
RB,DF,MF
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.03,51
NON_PEN_XG,0.04,53
TOTAL_SHOTS,0.68,63
ASSISTS,0.10,60
XA,0.14,81
NON_PEN_XG+XA,0.18,74
SHOT_CREATIONS,1.84,58
PASSES_ATTEMPTED,56.70,63
PASS_COMPLETION_PERCENTAGE,83.2,84
PROGRESSIVE_PASSES,3.65,48
PROGRESSIVE CARRIES,5.12,59
DRIBBLES_COMPLETED,0.79,53
TOUCHES_IN_AREA,2.25,81
PROGRESSIVE_PASSES_RECIEVED,2.97,72
PRESSURES,9.32,13
TACKLES,1.37,13
INTERCEPTIONS,0.61,2
BLOCKS,1.98,54
CLEARANCES,1.95,26
AERIAL_DUELS_WON,1.50,71
