Romeu,Oriol,Southampton
CM,DM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.05,52
NON_PEN_XG,0.02,14
TOTAL_SHOTS,0.71,38
ASSISTS,0.05,42
XA,0.06,41
NON_PEN_XG+XA,0.08,21
SHOT_CREATIONS,1.79,49
PASSES_ATTEMPTED,64.22,81
PASS_COMPLETION_PERCENTAGE,82.8,39
PROGRESSIVE_PASSES,4.44,61
PROGRESSIVE CARRIES,5.67,81
DRIBBLES_COMPLETED,0.56,29
TOUCHES_IN_AREA,0.51,16
PROGRESSIVE_PASSES_RECIEVED,1.17,28
PRESSURES,17.56,45
TACKLES,3.47,94
INTERCEPTIONS,1.38,57
BLOCKS,1.63,55
CLEARANCES,0.97,26
AERIAL_DUELS_WON,1.79,79
