Stephens,Jack,Southampton
CB,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,16
NON_PEN_XG,0.04,48
TOTAL_SHOTS,0.35,28
ASSISTS,0.00,31
XA,0.03,85
NON_PEN_XG+XA,0.08,74
SHOT_CREATIONS,1.05,94
PASSES_ATTEMPTED,59.49,64
PASS_COMPLETION_PERCENTAGE,83.2,23
PROGRESSIVE_PASSES,3.51,74
PROGRESSIVE CARRIES,3.69,72
DRIBBLES_COMPLETED,0.18,37
TOUCHES_IN_AREA,0.64,36
PROGRESSIVE_PASSES_RECIEVED,0.06,14
PRESSURES,9.90,64
TACKLES,2.17,84
INTERCEPTIONS,1.46,59
BLOCKS,2.40,97
CLEARANCES,4.92,45
AERIAL_DUELS_WON,1.52,9
