Forster,Fraser,Southampton
GK,GK,
STAT,VALUE,PERCENTILE
POST_SHOT_XG-CONCEDED,-0.28,6
GOALS_CONCEDED,1.38,52
SAVE_PERCENTAGE,67.9,44
POST_SHOT_XG_PER_SHOT_ON_TARGET,0.25,5
PENALTY_SAVE_PERCENTAGE,33.3,87
CLEAN_SHEET_PERCENTAGE,25.0,48
TOUCHES,38.13,69
LAUNCH_PERCENTAGE,51.4,74
GOAL_KICKS,8.00,73
AVG_GOAL_KICK_DISTANCE,49.6,68
CROSSES_STOPPED_PERCENTAGE,8.0,65
DEFENSIVE_ACTIONS_OUTSIDE_AREA,0.88,81
AVG_DISTANCE_OF_DEFENSIVE_ACTIONS,15.2,72
