Diallo,Ibrahima,Southampton
MF,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,15
NON_PEN_XG,0.04,31
TOTAL_SHOTS,0.55,25
ASSISTS,0.00,12
XA,0.06,46
NON_PEN_XG+XA,0.10,35
SHOT_CREATIONS,1.79,49
PASSES_ATTEMPTED,53.57,53
PASS_COMPLETION_PERCENTAGE,85.7,63
PROGRESSIVE_PASSES,3.58,40
PROGRESSIVE CARRIES,3.51,39
DRIBBLES_COMPLETED,1.11,71
TOUCHES_IN_AREA,0.74,31
PROGRESSIVE_PASSES_RECIEVED,1.36,35
PRESSURES,20.16,71
TACKLES,2.40,61
INTERCEPTIONS,1.17,39
BLOCKS,1.11,12
CLEARANCES,1.17,38
AERIAL_DUELS_WON,0.62,18
