Ndombele,Tanguy,Tottenham
CM,DM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.11,77
NON_PEN_XG,0.06,49
TOTAL_SHOTS,0.79,42
ASSISTS,0.11,72
XA,0.10,76
NON_PEN_XG+XA,0.16,67
SHOT_CREATIONS,2.62,82
PASSES_ATTEMPTED,52.94,52
PASS_COMPLETION_PERCENTAGE,85.6,62
PROGRESSIVE_PASSES,4.90,71
PROGRESSIVE CARRIES,7.30,92
DRIBBLES_COMPLETED,3.03,99
TOUCHES_IN_AREA,1.76,79
PROGRESSIVE_PASSES_RECIEVED,3.22,81
PRESSURES,19.21,62
TACKLES,2.43,63
INTERCEPTIONS,1.24,45
BLOCKS,1.53,47
CLEARANCES,0.71,13
AERIAL_DUELS_WON,0.52,13
