Alderweireld,Toby,Tottenham
CB,FB,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.04,47
NON_PEN_XG,0.03,34
TOTAL_SHOTS,0.43,44
ASSISTS,0.00,31
XA,0.01,56
NON_PEN_XG+XA,0.05,34
SHOT_CREATIONS,0.90,90
PASSES_ATTEMPTED,56.29,56
PASS_COMPLETION_PERCENTAGE,84.5,34
PROGRESSIVE_PASSES,2.33,40
PROGRESSIVE CARRIES,2.04,34
DRIBBLES_COMPLETED,0.14,27
TOUCHES_IN_AREA,0.57,27
PROGRESSIVE_PASSES_RECIEVED,0.14,35
PRESSURES,7.82,34
TACKLES,1.40,47
INTERCEPTIONS,0.61,2
BLOCKS,2.04,80
CLEARANCES,6.31,84
AERIAL_DUELS_WON,2.15,30
