Davies,Ben,Tottenham
LB,DF,MF
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,21
NON_PEN_XG,0.02,22
TOTAL_SHOTS,0.28,16
ASSISTS,0.08,48
XA,0.06,26
NON_PEN_XG+XA,0.07,18
SHOT_CREATIONS,1.40,35
PASSES_ATTEMPTED,56.94,65
PASS_COMPLETION_PERCENTAGE,78.7,56
PROGRESSIVE_PASSES,3.81,52
PROGRESSIVE CARRIES,4.13,39
DRIBBLES_COMPLETED,0.44,15
TOUCHES_IN_AREA,1.08,34
PROGRESSIVE_PASSES_RECIEVED,1.64,31
PRESSURES,11.90,42
TACKLES,1.48,21
INTERCEPTIONS,0.84,12
BLOCKS,1.52,17
CLEARANCES,4.25,97
AERIAL_DUELS_WON,2.52,96
