Lloris,Hugo,Tottenham
GK,GK,
STAT,VALUE,PERCENTILE
POST_SHOT_XG-CONCEDED,+0.11,83
GOALS_CONCEDED,1.18,72
SAVE_PERCENTAGE,75.2,88
POST_SHOT_XG_PER_SHOT_ON_TARGET,0.28,31
PENALTY_SAVE_PERCENTAGE,0.0,18
CLEAN_SHEET_PERCENTAGE,31.0,66
TOUCHES,29.15,8
LAUNCH_PERCENTAGE,46.4,69
GOAL_KICKS,6.78,34
AVG_GOAL_KICK_DISTANCE,37.2,26
CROSSES_STOPPED_PERCENTAGE,4.7,7
DEFENSIVE_ACTIONS_OUTSIDE_AREA,0.40,14
AVG_DISTANCE_OF_DEFENSIVE_ACTIONS,13.6,30
