Reid,Bobby,Fulham
FW,AM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.19,44
NON_PEN_XG,0.18,43
TOTAL_SHOTS,1.29,15
ASSISTS,0.08,11
XA,0.05,2
NON_PEN_XG+XA,0.24,11
SHOT_CREATIONS,1.25,1
PASSES_ATTEMPTED,31.34,23
PASS_COMPLETION_PERCENTAGE,74.1,38
PROGRESSIVE_PASSES,2.28,23
PROGRESSIVE CARRIES,3.68,8
DRIBBLES_COMPLETED,1.06,18
TOUCHES_IN_AREA,3.49,43
PROGRESSIVE_PASSES_RECIEVED,4.63,18
PRESSURES,15.59,51
TACKLES,1.21,45
INTERCEPTIONS,0.65,37
BLOCKS,1.40,72
CLEARANCES,1.56,98
AERIAL_DUELS_WON,0.99,70
