Tete,Kenny,Fulham
RB,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,21
NON_PEN_XG,0.01,17
TOTAL_SHOTS,0.41,30
ASSISTS,0.06,38
XA,0.09,61
NON_PEN_XG+XA,0.11,40
SHOT_CREATIONS,1.81,57
PASSES_ATTEMPTED,52.90,47
PASS_COMPLETION_PERCENTAGE,74.2,24
PROGRESSIVE_PASSES,3.38,38
PROGRESSIVE CARRIES,4.49,45
DRIBBLES_COMPLETED,0.58,31
TOUCHES_IN_AREA,1.34,45
PROGRESSIVE_PASSES_RECIEVED,2.51,58
PRESSURES,15.57,84
TACKLES,3.50,97
INTERCEPTIONS,1.87,91
BLOCKS,1.98,55
CLEARANCES,3.67,91
AERIAL_DUELS_WON,1.57,75
