Robinson,Antonee,Fulham
LB,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,21
NON_PEN_XG,0.03,36
TOTAL_SHOTS,0.46,40
ASSISTS,0.00,7
XA,0.07,36
NON_PEN_XG+XA,0.09,30
SHOT_CREATIONS,2.21,78
PASSES_ATTEMPTED,56.28,60
PASS_COMPLETION_PERCENTAGE,72.6,19
PROGRESSIVE_PASSES,3.62,46
PROGRESSIVE CARRIES,6.87,86
DRIBBLES_COMPLETED,2.00,96
TOUCHES_IN_AREA,1.42,48
PROGRESSIVE_PASSES_RECIEVED,2.54,59
PRESSURES,10.37,20
TACKLES,2.00,51
INTERCEPTIONS,1.83,90
BLOCKS,2.16,68
CLEARANCES,3.46,85
AERIAL_DUELS_WON,1.62,78
