Lemina,Mario,Fulham
CM,DM,FB
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.05,54
NON_PEN_XG,0.05,40
TOTAL_SHOTS,0.95,55
ASSISTS,0.00,12
XA,0.04,25
NON_PEN_XG+XA,0.10,32
SHOT_CREATIONS,1.32,26
PASSES_ATTEMPTED,45.45,30
PASS_COMPLETION_PERCENTAGE,85.3,62
PROGRESSIVE_PASSES,2.96,24
PROGRESSIVE CARRIES,4.49,60
DRIBBLES_COMPLETED,1.48,86
TOUCHES_IN_AREA,0.58,21
PROGRESSIVE_PASSES_RECIEVED,1.00,21
PRESSURES,16.86,38
TACKLES,3.22,89
INTERCEPTIONS,2.27,96
BLOCKS,1.48,40
CLEARANCES,1.96,78
AERIAL_DUELS_WON,1.00,42
