Adarabioyo,Tosin,Fulham
CB,LCB,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,16
NON_PEN_XG,0.03,37
TOTAL_SHOTS,0.61,74
ASSISTS,0.00,31
XA,0.01,50
NON_PEN_XG+XA,0.05,34
SHOT_CREATIONS,0.52,51
PASSES_ATTEMPTED,55.59,55
PASS_COMPLETION_PERCENTAGE,87.4,59
PROGRESSIVE_PASSES,2.22,35
PROGRESSIVE CARRIES,1.52,23
DRIBBLES_COMPLETED,0.24,57
TOUCHES_IN_AREA,1.04,78
PROGRESSIVE_PASSES_RECIEVED,0.15,38
PRESSURES,5.55,5
TACKLES,1.25,30
INTERCEPTIONS,1.68,75
BLOCKS,1.16,5
CLEARANCES,7.35,94
AERIAL_DUELS_WON,3.05,70
