Lookman,Ademola,Fulham
FW,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.13,19
NON_PEN_XG,0.16,31
TOTAL_SHOTS,2.23,62
ASSISTS,0.13,27
XA,0.17,49
NON_PEN_XG+XA,0.33,34
SHOT_CREATIONS,3.77,71
PASSES_ATTEMPTED,38.27,53
PASS_COMPLETION_PERCENTAGE,75.3,47
PROGRESSIVE_PASSES,3.44,62
PROGRESSIVE CARRIES,7.21,72
DRIBBLES_COMPLETED,2.72,87
TOUCHES_IN_AREA,4.72,70
PROGRESSIVE_PASSES_RECIEVED,6.26,44
PRESSURES,16.94,65
TACKLES,1.25,47
INTERCEPTIONS,0.82,57
BLOCKS,1.38,69
CLEARANCES,0.43,40
AERIAL_DUELS_WON,0.23,9
