Maja,Josh,Fulham
FW,FW,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.22,14
NON_PEN_XG,0.40,67
TOTAL_SHOTS,2.17,37
ASSISTS,0.00,4
XA,0.09,35
NON_PEN_XG+XA,0.49,56
SHOT_CREATIONS,1.84,31
PASSES_ATTEMPTED,20.41,27
PASS_COMPLETION_PERCENTAGE,88.0,99
PROGRESSIVE_PASSES,0.72,9
PROGRESSIVE CARRIES,1.56,17
DRIBBLES_COMPLETED,1.12,57
TOUCHES_IN_AREA,3.79,10
PROGRESSIVE_PASSES_RECIEVED,6.75,35
PRESSURES,14.94,61
TACKLES,0.78,63
INTERCEPTIONS,0.50,81
BLOCKS,0.56,27
CLEARANCES,0.61,41
AERIAL_DUELS_WON,1.17,29
