Minamino,Takumi,Liverpool
FW,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.23,56
NON_PEN_XG,0.17,34
TOTAL_SHOTS,1.74,34
ASSISTS,0.00,3
XA,0.05,2
NON_PEN_XG+XA,0.23,10
SHOT_CREATIONS,1.59,3
PASSES_ATTEMPTED,35.40,37
PASS_COMPLETION_PERCENTAGE,75.6,47
PROGRESSIVE_PASSES,1.97,15
PROGRESSIVE CARRIES,3.25,5
DRIBBLES_COMPLETED,1.13,23
TOUCHES_IN_AREA,3.10,32
PROGRESSIVE_PASSES_RECIEVED,5.82,34
PRESSURES,21.86,96
TACKLES,0.83,15
INTERCEPTIONS,0.61,30
BLOCKS,0.98,26
CLEARANCES,1.21,93
AERIAL_DUELS_WON,0.76,58
